# Constructed from biom file
#OTU ID	M.T1.R1.S1	M.T1.R1.S2	M.T1.R1.S3	M.T1.R2.S1	M.T1.R2.S2	M.T1.R2.S3	M.T1.R3.S1	M.T1.R3.S2	M.T1.R3.S3	M.T1.R4.S1	M.T1.R4.S2	M.T1.R4.S3	M.T2.R1.S1	M.T2.R1.S2	M.T2.R1.S3	M.T2.R2.S1	M.T2.R2.S2	M.T2.R2.S3	M.T2.R3.S1	M.T2.R3.S2	M.T2.R4.S1	M.T2.R4.S2	M.T2.R4.S3	M.T3.R1.S1	M.T3.R1.S2	M.T3.R1.S3	M.T3.R2.S1	M.T3.R2.S2	M.T3.R2.S3	M.T3.R3.S1	M.T3.R3.S2	M.T3.R3.S3	M.T3.R4.S1	M.T3.R4.S2	M.T3.R4.S3	M.T4.R1.S1	M.T4.R1.S2	M.T4.R1.S3	M.T4.R2.S1	M.T4.R2.S2	M.T4.R2.S3	M.T4.R3.S1	M.T4.R3.S2	M.T4.R3.S3	M.T4.R4.S1	M.T4.R4.S2	M.T4.R4.S3
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza	0.0	1.0	1.0	1.0	0.0	0.0	116.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	40.0	0.0	0.0	1.0	2.0	0.0	0.0	6.0	1.0	1.0	24.0	0.0	0.0	3.0	7.0	0.0	3.0	0.0	1.0	32.0	2.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__unidentified	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	33.0	1.0	4.0	11.0	1.0	43.0	2.0	1.0	0.0	224.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Byssonectria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Cheilymenia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	2.0	3.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria	0.0	10.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	5.0	4.0	7.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	13.0	4.0	26.0	1.0	2.0	4.0	12.0	6.0	31.0	1.0	65.0	29.0	23.0	0.0	64.0	120.0	86.0	68.0	0.0	34.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Scutellinia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__unidentified	3.0	2.0	8.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	15.0	74.0	3.0	19.0	24.0	0.0	0.0	60.0	19.0	5.0	2.0	63.0	4.0	17.0	10.0	9.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	8.0	11.0	0.0	0.0	3.0	4.0	16.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Lipomycetaceae;g__Lipomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Cyberlindnera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__unidentified;g__unidentified	0.0	1.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;__;__;__	27.0	35.0	16.0	36.0	18.0	25.0	15.0	11.0	4.0	11.0	18.0	56.0	6.0	17.0	30.0	9.0	20.0	21.0	12.0	13.0	14.0	12.0	13.0	18.0	31.0	16.0	18.0	19.0	21.0	18.0	36.0	18.0	22.0	24.0	11.0	16.0	28.0	30.0	20.0	33.0	36.0	24.0	18.0	12.0	19.0	29.0	11.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06;f__unidentified;g__unidentified	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chaetosphaeria	6.0	4.0	9.0	18.0	11.0	8.0	9.0	11.0	15.0	18.0	12.0	10.0	0.0	10.0	9.0	9.0	12.0	22.0	6.0	12.0	2.0	8.0	12.0	0.0	3.0	4.0	9.0	13.0	10.0	12.0	7.0	11.0	9.0	12.0	4.0	0.0	9.0	7.0	29.0	18.0	3.0	16.0	3.0	0.0	8.0	3.0	5.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Sporoschisma	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__unidentified	0.0	4.0	17.0	2.0	7.0	3.0	6.0	6.0	24.0	6.0	3.0	6.0	0.0	2.0	7.0	4.0	8.0	4.0	0.0	13.0	6.0	2.0	0.0	3.0	9.0	5.0	6.0	7.0	10.0	12.0	0.0	13.0	3.0	5.0	3.0	0.0	6.0	4.0	9.0	10.0	7.0	5.0	5.0	0.0	5.0	5.0	9.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;__	0.0	2.0	2.0	2.0	1.0	5.0	3.0	2.0	0.0	0.0	2.0	1.0	0.0	6.0	1.0	1.0	8.0	2.0	3.0	0.0	0.0	1.0	2.0	0.0	5.0	4.0	4.0	10.0	3.0	1.0	3.0	0.0	1.0	5.0	1.0	0.0	0.0	2.0	1.0	5.0	3.0	7.0	2.0	0.0	5.0	2.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta	66.0	37.0	24.0	40.0	17.0	41.0	8.0	50.0	40.0	19.0	20.0	27.0	19.0	10.0	19.0	26.0	34.0	10.0	63.0	43.0	66.0	50.0	58.0	22.0	20.0	20.0	17.0	24.0	13.0	25.0	16.0	42.0	22.0	17.0	17.0	15.0	17.0	12.0	21.0	4.0	11.0	30.0	21.0	4.0	28.0	14.0	5.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Lecythophora	37.0	45.0	25.0	19.0	39.0	37.0	32.0	25.0	47.0	20.0	15.0	7.0	14.0	17.0	29.0	15.0	20.0	11.0	15.0	3.0	7.0	12.0	12.0	30.0	10.0	10.0	9.0	7.0	16.0	8.0	16.0	19.0	15.0	3.0	7.0	19.0	13.0	9.0	9.0	10.0	5.0	14.0	12.0	14.0	12.0	3.0	6.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	6.0	8.0	2.0	3.0	3.0	3.0	7.0	15.0	5.0	0.0	20.0	4.0	0.0	7.0	9.0	1.0	2.0	0.0	2.0	2.0	2.0	3.0	2.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Lectera	3.0	14.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	5.0	0.0	3.0	0.0	2.0	1.0	1.0	8.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	12.0	6.0	3.0	9.0	1.0	17.0	4.0	6.0	0.0	3.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	77.0	32.0	30.0	59.0	88.0	26.0	2.0	61.0	4.0	37.0	19.0	72.0	26.0	46.0	12.0	13.0	23.0	11.0	57.0	28.0	4.0	4.0	50.0	42.0	111.0	11.0	49.0	63.0	48.0	26.0	55.0	46.0	73.0	31.0	51.0	47.0	87.0	63.0	80.0	66.0	57.0	56.0	84.0	196.0	32.0	20.0	3.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__unidentified	7.0	10.0	7.0	19.0	4.0	11.0	4.0	5.0	5.0	27.0	37.0	22.0	3.0	11.0	17.0	14.0	12.0	9.0	9.0	10.0	4.0	10.0	5.0	57.0	28.0	6.0	44.0	52.0	42.0	11.0	14.0	20.0	18.0	15.0	6.0	4.0	13.0	19.0	23.0	33.0	9.0	13.0	14.0	6.0	14.0	24.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;__;__	4.0	12.0	8.0	30.0	4.0	3.0	6.0	10.0	11.0	1.0	1.0	5.0	5.0	2.0	6.0	7.0	7.0	3.0	15.0	5.0	0.0	3.0	1.0	1.0	10.0	7.0	2.0	5.0	7.0	2.0	5.0	3.0	4.0	3.0	0.0	4.0	19.0	18.0	5.0	12.0	4.0	10.0	16.0	7.0	3.0	28.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Bionectria	0.0	0.0	3.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys	0.0	8.0	0.0	4.0	0.0	7.0	2.0	1.0	0.0	42.0	2.0	9.0	11.0	12.0	11.0	9.0	5.0	12.0	4.0	6.0	10.0	11.0	15.0	4.0	14.0	8.0	5.0	13.0	10.0	26.0	6.0	7.0	17.0	9.0	6.0	28.0	16.0	8.0	38.0	18.0	23.0	21.0	7.0	4.0	19.0	9.0	5.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Valsonectria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;__	0.0	3.0	4.0	0.0	4.0	4.0	3.0	2.0	4.0	5.0	1.0	3.0	2.0	1.0	5.0	1.0	3.0	4.0	6.0	5.0	7.0	3.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	4.0	2.0	2.0	2.0	2.0	5.0	0.0	4.0	2.0	0.0	1.0	2.0	4.0	0.0	0.0	6.0	4.0	12.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium	0.0	3.0	4.0	0.0	1.0	4.0	0.0	6.0	3.0	2.0	3.0	5.0	0.0	10.0	2.0	3.0	5.0	5.0	6.0	7.0	7.0	7.0	5.0	0.0	6.0	3.0	1.0	6.0	1.0	6.0	10.0	9.0	11.0	4.0	3.0	2.0	18.0	6.0	13.0	7.0	2.0	4.0	2.0	2.0	10.0	8.0	4.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;__	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Monocillium	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	7.0	58.0	41.0	49.0	34.0	87.0	29.0	53.0	0.0	52.0	28.0	38.0	12.0	13.0	22.0	92.0	22.0	33.0	33.0	89.0	41.0	28.0	27.0	11.0	25.0	25.0	58.0	37.0	46.0	61.0	29.0	58.0	18.0	26.0	52.0	9.0	14.0	16.0	53.0	40.0	23.0	59.0	41.0	11.0	15.0	10.0	7.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium	7.0	8.0	14.0	40.0	22.0	12.0	2.0	19.0	19.0	12.0	7.0	17.0	0.0	51.0	20.0	18.0	22.0	25.0	18.0	5.0	7.0	7.0	17.0	11.0	47.0	15.0	24.0	33.0	39.0	34.0	32.0	32.0	26.0	19.0	23.0	11.0	25.0	18.0	22.0	27.0	12.0	21.0	21.0	26.0	27.0	51.0	10.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Fusariella	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Stilbella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	7.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Ustilaginoidea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__	0.0	6.0	6.0	12.0	20.0	0.0	0.0	2.0	0.0	13.0	5.0	2.0	16.0	5.0	3.0	9.0	0.0	3.0	5.0	0.0	1.0	1.0	5.0	0.0	2.0	1.0	7.0	18.0	5.0	9.0	16.0	0.0	6.0	2.0	5.0	0.0	0.0	0.0	10.0	9.0	10.0	4.0	2.0	0.0	7.0	10.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Acremoniopsis	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Cosmospora	0.0	1.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	21.0	5.0	3.0	0.0	0.0	4.0	2.0	1.0	2.0	5.0	1.0	6.0	0.0	2.0	0.0	3.0	2.0	2.0	3.0	1.0	3.0	2.0	3.0	3.0	3.0	3.0	0.0	2.0	0.0	4.0	4.0	3.0	1.0	1.0	0.0	2.0	2.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Cylindrocarpon	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	3.0	1.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria	0.0	2.0	0.0	0.0	5.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	11.0	17.0	6.0	24.0	17.0	20.0	31.0	9.0	19.0	37.0	14.0	9.0	30.0	26.0	34.0	31.0	18.0	22.0	37.0	25.0	14.0	18.0	35.0	32.0	54.0	39.0	32.0	43.0	88.0	39.0	43.0	42.0	27.0	36.0	42.0	78.0	67.0	50.0	40.0	60.0	46.0	57.0	38.0	144.0	50.0	39.0	26.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla	25.0	8.0	6.0	14.0	18.0	7.0	1.0	8.0	11.0	24.0	8.0	8.0	0.0	2.0	0.0	9.0	7.0	5.0	17.0	0.0	6.0	6.0	2.0	14.0	5.0	3.0	5.0	15.0	14.0	12.0	11.0	32.0	17.0	11.0	6.0	6.0	1.0	0.0	14.0	12.0	45.0	6.0	5.0	5.0	11.0	8.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Mariannaea	12.0	5.0	9.0	12.0	9.0	11.0	4.0	12.0	20.0	14.0	7.0	8.0	8.0	3.0	4.0	12.0	6.0	6.0	5.0	11.0	5.0	4.0	2.0	6.0	3.0	6.0	29.0	5.0	3.0	21.0	12.0	10.0	11.0	10.0	6.0	10.0	3.0	2.0	11.0	7.0	1.0	3.0	2.0	7.0	4.0	5.0	2.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neonectria	0.0	12.0	7.0	7.0	13.0	7.0	5.0	10.0	10.0	10.0	2.0	9.0	5.0	5.0	11.0	11.0	45.0	13.0	9.0	3.0	1.0	4.0	5.0	0.0	5.0	1.0	12.0	12.0	8.0	6.0	24.0	7.0	4.0	5.0	9.0	0.0	4.0	1.0	11.0	2.0	6.0	7.0	6.0	0.0	7.0	5.0	4.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Paracremonium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Thelonectria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Viridispora	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Volutella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Niessliaceae;g__Eucasphaeria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Hirsutella	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium	0.0	4.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	1.0	1.0	0.0	3.0	1.0	2.0	1.0	4.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
