# Constructed from biom file
#OTU ID	U.T1.R1.S1	U.T1.R1.S2	U.T1.R1.S3	U.T1.R2.S1	U.T1.R2.S3	U.T1.R3.S1	U.T1.R3.S2	U.T1.R3.S3	U.T1.R4.S1	U.T1.R4.S2	U.T1.R4.S3	U.T2.R1.S1	U.T2.R1.S2	U.T2.R1.S3	U.T2.R2.S1	U.T2.R2.S2	U.T2.R2.S3	U.T2.R3.S1	U.T2.R3.S2	U.T2.R3.S3	U.T2.R4.S1	U.T2.R4.S2	U.T2.R4.S3	U.T3.R1.S1	U.T3.R1.S2	U.T3.R1.S3	U.T3.R2.S1	U.T3.R2.S2	U.T3.R2.S3	U.T3.R3.S1	U.T3.R3.S2	U.T3.R3.S3	U.T3.R4.S1	U.T3.R4.S2	U.T3.R4.S3	U.T4.R1.S1	U.T4.R1.S2	U.T4.R1.S3	U.T4.R2.S1	U.T4.R2.S2	U.T4.R2.S3	U.T4.R3.S1	U.T4.R3.S2	U.T4.R3.S3	U.T4.R4.S1	U.T4.R4.S2	U.T4.R4.S3
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Melanodiplodia	13.0	28.0	17.0	32.0	14.0	57.0	17.0	39.0	49.0	36.0	20.0	18.0	43.0	46.0	13.0	53.0	34.0	29.0	34.0	80.0	50.0	7.0	51.0	12.0	3.0	15.0	40.0	0.0	7.0	60.0	23.0	8.0	48.0	29.0	11.0	81.0	25.0	22.0	23.0	37.0	12.0	33.0	10.0	18.0	25.0	12.0	4.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	8.0	2.0	4.0	8.0	6.0	5.0	13.0	11.0	2.0	4.0	7.0	1.0	3.0	0.0	1.0	1.0	4.0	4.0	5.0	0.0	4.0	0.0	3.0	2.0	2.0	3.0	0.0	2.0	4.0	12.0	4.0	6.0	3.0	9.0	5.0	2.0	4.0	3.0	5.0	7.0	0.0	2.0	4.0	0.0	3.0	1.0	2.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;__	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	3.0	3.0	0.0	6.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora	0.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	4.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophoma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
