# Constructed from biom file
#OTU ID	U.T1.R1.S1	U.T1.R1.S2	U.T1.R1.S3	U.T1.R2.S1	U.T1.R2.S3	U.T1.R3.S1	U.T1.R3.S2	U.T1.R3.S3	U.T1.R4.S1	U.T1.R4.S2	U.T1.R4.S3	U.T2.R1.S1	U.T2.R1.S2	U.T2.R1.S3	U.T2.R2.S1	U.T2.R2.S2	U.T2.R2.S3	U.T2.R3.S1	U.T2.R3.S2	U.T2.R3.S3	U.T2.R4.S1	U.T2.R4.S2	U.T2.R4.S3	U.T3.R1.S1	U.T3.R1.S2	U.T3.R1.S3	U.T3.R2.S1	U.T3.R2.S2	U.T3.R2.S3	U.T3.R3.S1	U.T3.R3.S2	U.T3.R3.S3	U.T3.R4.S1	U.T3.R4.S2	U.T3.R4.S3	U.T4.R1.S1	U.T4.R1.S2	U.T4.R1.S3	U.T4.R2.S1	U.T4.R2.S2	U.T4.R2.S3	U.T4.R3.S1	U.T4.R3.S2	U.T4.R3.S3	U.T4.R4.S1	U.T4.R4.S2	U.T4.R4.S3
k__Fungi;p__Ascomycota;c__Sordariomycetes;__;__;__	8.0	10.0	7.0	4.0	30.0	13.0	7.0	7.0	8.0	19.0	21.0	5.0	9.0	7.0	14.0	11.0	16.0	7.0	13.0	19.0	10.0	9.0	9.0	33.0	8.0	9.0	7.0	22.0	10.0	5.0	6.0	6.0	22.0	7.0	7.0	17.0	9.0	13.0	9.0	10.0	9.0	9.0	16.0	13.0	16.0	7.0	9.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chaetosphaeria	7.0	6.0	6.0	3.0	4.0	12.0	16.0	41.0	7.0	16.0	6.0	10.0	3.0	12.0	11.0	4.0	10.0	11.0	10.0	6.0	2.0	4.0	8.0	5.0	3.0	7.0	4.0	7.0	8.0	6.0	6.0	8.0	12.0	5.0	7.0	10.0	8.0	10.0	7.0	9.0	6.0	9.0	8.0	8.0	4.0	6.0	2.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Sporoschisma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__unidentified	5.0	1.0	4.0	36.0	4.0	4.0	9.0	3.0	4.0	8.0	9.0	2.0	10.0	4.0	14.0	16.0	8.0	5.0	7.0	9.0	6.0	6.0	1.0	4.0	3.0	9.0	4.0	0.0	3.0	1.0	4.0	3.0	6.0	4.0	6.0	1.0	10.0	1.0	5.0	0.0	6.0	5.0	8.0	5.0	10.0	8.0	9.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;__	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta	139.0	35.0	78.0	35.0	62.0	22.0	30.0	41.0	66.0	44.0	29.0	28.0	41.0	34.0	33.0	53.0	24.0	38.0	32.0	17.0	31.0	16.0	29.0	21.0	20.0	59.0	23.0	29.0	27.0	31.0	22.0	20.0	57.0	28.0	34.0	40.0	25.0	29.0	22.0	39.0	27.0	34.0	67.0	30.0	20.0	20.0	18.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Lecythophora	17.0	10.0	8.0	54.0	24.0	14.0	28.0	27.0	10.0	14.0	6.0	16.0	17.0	2.0	32.0	35.0	36.0	9.0	6.0	5.0	31.0	43.0	18.0	24.0	11.0	9.0	6.0	0.0	9.0	2.0	11.0	6.0	4.0	8.0	9.0	7.0	11.0	14.0	0.0	16.0	10.0	18.0	6.0	6.0	12.0	12.0	11.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Stenocarpella	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum	0.0	1.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	8.0	0.0	2.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	5.0	1.0	0.0	2.0	8.0	0.0	13.0	0.0	5.0	6.0	4.0	2.0	3.0	0.0	4.0	2.0	6.0	10.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;__	19.0	27.0	16.0	13.0	42.0	11.0	15.0	8.0	28.0	25.0	87.0	41.0	39.0	20.0	47.0	48.0	22.0	52.0	44.0	39.0	28.0	40.0	31.0	40.0	34.0	62.0	57.0	96.0	45.0	16.0	16.0	23.0	70.0	69.0	86.0	49.0	45.0	55.0	45.0	49.0	62.0	76.0	56.0	60.0	18.0	56.0	47.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Lectera	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	13.0	13.0	61.0	8.0	100.0	20.0	37.0	12.0	11.0	20.0	57.0	29.0	17.0	30.0	21.0	18.0	24.0	9.0	23.0	66.0	12.0	62.0	21.0	71.0	67.0	44.0	56.0	204.0	25.0	18.0	19.0	27.0	16.0	13.0	35.0	71.0	46.0	72.0	53.0	42.0	42.0	74.0	30.0	11.0	46.0	47.0	46.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__unidentified	1.0	2.0	2.0	0.0	6.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;__;__	12.0	10.0	5.0	8.0	8.0	3.0	7.0	6.0	10.0	4.0	17.0	7.0	12.0	5.0	3.0	15.0	9.0	7.0	4.0	6.0	0.0	13.0	4.0	8.0	11.0	10.0	5.0	4.0	6.0	6.0	4.0	1.0	9.0	8.0	3.0	11.0	3.0	10.0	4.0	7.0	5.0	8.0	6.0	5.0	0.0	5.0	12.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys	2.0	1.0	1.0	1.0	10.0	2.0	4.0	0.0	3.0	3.0	2.0	9.0	7.0	8.0	13.0	8.0	12.0	6.0	9.0	23.0	13.0	4.0	6.0	4.0	3.0	9.0	4.0	0.0	5.0	5.0	6.0	6.0	4.0	14.0	13.0	17.0	27.0	26.0	17.0	46.0	32.0	17.0	36.0	17.0	11.0	19.0	40.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Valsonectria	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metapochonia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	3.0	21.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium	4.0	0.0	6.0	15.0	2.0	2.0	9.0	2.0	5.0	1.0	3.0	4.0	4.0	4.0	14.0	4.0	0.0	0.0	0.0	4.0	0.0	2.0	4.0	9.0	3.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	7.0	5.0	4.0	5.0	2.0	2.0	1.0	1.0	2.0	0.0	6.0	2.0	15.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__unidentified	0.0	0.0	0.0	2.0	2.0	0.0	4.0	2.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	3.0	0.0	5.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	5.0	2.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	7.0	0.0	1.0	1.0	1.0	3.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;__	0.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	4.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	17.0	0.0	2.0	1.0	0.0	2.0	2.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	33.0	22.0	42.0	36.0	47.0	59.0	38.0	66.0	36.0	19.0	48.0	34.0	50.0	29.0	35.0	45.0	39.0	31.0	24.0	21.0	26.0	66.0	49.0	24.0	15.0	20.0	24.0	12.0	15.0	17.0	15.0	26.0	31.0	26.0	25.0	18.0	30.0	34.0	16.0	9.0	18.0	24.0	51.0	24.0	38.0	26.0	30.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium	2.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	1.0	4.0	5.0	4.0	1.0	0.0	1.0	5.0	3.0	2.0	1.0	8.0	4.0	5.0	9.0	4.0	5.0	4.0	1.0	3.0	3.0	2.0	5.0	5.0	6.0	6.0	2.0	6.0	2.0	3.0	3.0	4.0	3.0	2.0	2.0	9.0	19.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__	11.0	6.0	20.0	13.0	8.0	5.0	12.0	29.0	25.0	8.0	19.0	13.0	23.0	20.0	18.0	4.0	16.0	18.0	28.0	13.0	15.0	56.0	10.0	10.0	15.0	20.0	9.0	0.0	19.0	10.0	12.0	14.0	22.0	11.0	21.0	7.0	15.0	27.0	5.0	8.0	6.0	17.0	17.0	23.0	22.0	55.0	8.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Acremoniopsis	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Cosmospora	21.0	9.0	28.0	33.0	18.0	29.0	14.0	31.0	17.0	22.0	7.0	16.0	35.0	10.0	11.0	19.0	22.0	32.0	14.0	8.0	6.0	5.0	26.0	7.0	12.0	14.0	11.0	16.0	10.0	15.0	12.0	9.0	12.0	7.0	9.0	20.0	23.0	31.0	9.0	9.0	18.0	18.0	22.0	11.0	5.0	50.0	2.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Cylindrocarpon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	24.0	15.0	26.0	33.0	23.0	52.0	72.0	21.0	42.0	34.0	33.0	27.0	39.0	21.0	27.0	11.0	26.0	41.0	34.0	28.0	31.0	26.0	37.0	27.0	44.0	36.0	40.0	87.0	52.0	47.0	43.0	57.0	56.0	52.0	49.0	46.0	38.0	51.0	38.0	57.0	54.0	55.0	37.0	54.0	69.0	51.0	47.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla	3.0	5.0	2.0	1.0	2.0	3.0	5.0	2.0	1.0	1.0	4.0	0.0	0.0	1.0	2.0	5.0	0.0	3.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	1.0	2.0	2.0	2.0	0.0	10.0	0.0	2.0	0.0	2.0	5.0	1.0	8.0	4.0	1.0	1.0	4.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Mariannaea	11.0	8.0	10.0	28.0	9.0	22.0	16.0	9.0	9.0	12.0	10.0	8.0	2.0	2.0	35.0	11.0	14.0	8.0	17.0	4.0	5.0	1.0	8.0	8.0	6.0	5.0	10.0	45.0	4.0	9.0	7.0	5.0	4.0	6.0	10.0	5.0	8.0	16.0	5.0	6.0	8.0	13.0	13.0	2.0	6.0	9.0	14.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Stephanonectria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Volutella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Niessliaceae;g__Eucasphaeria	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium	2.0	2.0	1.0	0.0	1.0	0.0	9.0	5.0	4.0	1.0	2.0	0.0	2.0	0.0	2.0	2.0	5.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	4.0	2.0	4.0	0.0	0.0	5.0	1.0	5.0	1.0	1.0	1.0	4.0	13.0	6.0	16.0	8.0	16.0	1.0	8.0	36.0	2.0	9.0	4.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Achroiostachys	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Myrothecium	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Stachybotrys	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified	1.0	0.0	1.0	4.0	0.0	1.0	4.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	2.0	6.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	3.0	0.0	5.0	3.0	0.0	1.0	0.0	3.0	0.0	0.0	2.0	2.0	1.0	3.0	8.0	1.0	0.0	2.0	0.0	4.0	5.0	0.0	10.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Gaeumannomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Halosphaeriaceae;g__unidentified	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	11.0	1.0	0.0	1.0	6.0	5.0	7.0	3.0	2.0	7.0	1.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	7.0	0.0	2.0	6.0	0.0	0.0	1.0	4.0	4.0	5.0	13.0	0.0	10.0	1.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Acaulium	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__Myrmecridiaceae;g__Myrmecridium	2.0	0.0	5.0	0.0	1.0	2.0	3.0	1.0	4.0	3.0	0.0	0.0	1.0	0.0	3.0	2.0	2.0	3.0	0.0	2.0	1.0	0.0	1.0	3.0	2.0	1.0	2.0	0.0	3.0	3.0	5.0	0.0	3.0	5.0	0.0	0.0	0.0	2.0	0.0	3.0	3.0	0.0	1.0	0.0	2.0	1.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;__;__	5.0	0.0	5.0	7.0	2.0	1.0	6.0	0.0	4.0	0.0	4.0	3.0	3.0	6.0	2.0	1.0	0.0	2.0	1.0	1.0	3.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	1.0	3.0	0.0	4.0	5.0	0.0	0.0	0.0	4.0	2.0	2.0	4.0	3.0	2.0	5.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;__	32.0	30.0	42.0	32.0	17.0	26.0	30.0	16.0	34.0	48.0	49.0	61.0	44.0	17.0	21.0	8.0	32.0	72.0	22.0	17.0	40.0	113.0	40.0	16.0	13.0	43.0	33.0	13.0	14.0	35.0	41.0	27.0	81.0	30.0	22.0	44.0	15.0	14.0	24.0	9.0	13.0	12.0	3.0	12.0	9.0	24.0	14.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Arcopilus	2.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomidium	6.0	7.0	3.0	8.0	5.0	4.0	15.0	4.0	9.0	2.0	8.0	3.0	12.0	0.0	2.0	13.0	7.0	4.0	3.0	5.0	0.0	0.0	5.0	7.0	5.0	3.0	0.0	16.0	1.0	10.0	3.0	1.0	3.0	1.0	0.0	0.0	12.0	6.0	1.0	0.0	2.0	0.0	6.0	0.0	3.0	2.0	7.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium	35.0	20.0	23.0	24.0	25.0	25.0	46.0	33.0	22.0	39.0	41.0	30.0	16.0	10.0	18.0	14.0	30.0	30.0	22.0	11.0	10.0	10.0	18.0	20.0	27.0	36.0	26.0	13.0	13.0	20.0	34.0	18.0	18.0	32.0	22.0	19.0	23.0	13.0	8.0	19.0	21.0	28.0	36.0	24.0	23.0	15.0	20.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Dichotomopilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Trichocladium	4.0	3.0	5.0	10.0	19.0	0.0	1.0	10.0	14.0	7.0	7.0	23.0	9.0	17.0	9.0	2.0	5.0	4.0	2.0	2.0	3.0	6.0	10.0	7.0	2.0	5.0	0.0	0.0	5.0	4.0	10.0	3.0	3.0	15.0	2.0	0.0	2.0	7.0	3.0	5.0	1.0	4.0	4.0	0.0	3.0	4.0	22.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Zopfiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__unidentified	5.0	3.0	2.0	2.0	3.0	2.0	1.0	2.0	7.0	1.0	0.0	2.0	6.0	0.0	7.0	4.0	6.0	4.0	4.0	1.0	3.0	0.0	0.0	4.0	2.0	3.0	4.0	0.0	6.0	4.0	3.0	0.0	8.0	6.0	6.0	7.0	1.0	3.0	9.0	3.0	82.0	4.0	7.0	1.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;__	27.0	41.0	38.0	58.0	22.0	27.0	64.0	43.0	35.0	39.0	32.0	32.0	39.0	17.0	37.0	40.0	44.0	19.0	28.0	14.0	10.0	23.0	31.0	33.0	42.0	32.0	63.0	0.0	43.0	34.0	23.0	31.0	39.0	26.0	40.0	45.0	50.0	41.0	30.0	41.0	29.0	35.0	43.0	33.0	24.0	35.0	26.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Apodus	0.0	0.0	0.0	1.0	1.0	0.0	4.0	0.0	0.0	5.0	0.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	5.0	4.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
